井深,钻头深度,泵冲,立压log,大钩负荷,大钩高度,转速,钻压,入口流量log,出口流量log,总池体积,钻时,全烃,甲烷,出口密度,出口温度,垂深,钻头垂深,扭矩,方入,大钩速度,套压,泵冲1,泵冲3,迟到时间,泥浆溢漏,入口密度log,入口温度,H2S,C2,PWD垂深,PWD环空压力,PWD井斜,PWD方位,上返深度,操作模式,立压,测量回压,出口流量,出口密度,回压泵流量,循环回压,附加回压,入口流量,定点深度,定点垂深,定点压力,井口调节压力,定点压耗,定点ECD,钻头ECD,钻柱压降,钻头压降,环空压耗,目标回压,静液压力,溢流
6967.42,6967.42,6954.748,6954.748,16.07395,0,1649.94,0,0.7465789,-999.25,22.83437,-1.23E-06,16.30416,0,0,46.67586,0,129.4625,164.4751,-0.9830582,0.7169834,0.5942019,1.16806,1.160918,47.02687,51.93222,22.2437,0,14.1964,0.8694,24,3.868095,0.79,117.86,0,3,16.17754,0.1936404,14.51071,1.364106,1.50E-06,0,1.547805,11.21621,6800,6241.11,73.5,0,4.46426,1.201709,1.252972,10.7399,0.1736541,4.568963,0,72.1722,0
6967.42,6967.42,6954.748,6954.748,16.07395,0,1649.94,0,0.8570658,-999.25,22.83437,-1.23E-06,16.30416,0,0,47.17241,0,129.4164,166.2248,-1.02914,0.7246109,0.5942019,1.16806,1.16156,47.02687,51.93222,22.2299,0,14.1964,0.8694,24,3.868095,0.79,117.86,0,3,16.4348,0.1712009,14.0467,1.362,7.69E-07,0,1.547805,11.33553,6800,6241.11,73.5,0,4.476001,1.201709,1.252905,10.93378,0.1773686,4.580981,0,72.1722,0
6967.42,6967.42,6954.748,6954.748,16.07395,0,1649.94,0,0.8570658,-999.25,22.83437,-1.23E-06,16.3427,0,0,47.17241,0,129.3786,164.4751,-1.066955,0.7246109,0.592937,1.16806,1.16156,47.02687,51.93222,22.2574,0,14.1964,0.8694,24,3.868095,0.79,117.86,0,3,16.45214,0.1728375,13.67794,1.404157,4.92E-07,0,1.547805,11.33553,6800,6241.11,73.5,0,4.476001,1.201709,1.252844,10.93378,0.1773686,4.580981,0,72.1722,0
6967.42,6967.42,6954.748,6954.748,16.07395,0,1649.94,0,0.8938947,-999.25,22.83437,-1.23E-06,16.38125,0,0,46.67586,0,129.3596,164.4751,-1.08587,0.7169834,0.5916721,1.16806,1.16156,47.02687,51.93222,22.2083,0,14.1964,0.8694,24,3.868095,0.79,117.86,0,3,16.39886,0.1894951,13.60546,1.415342,3.15E-07,0,1.547805,11.21621,6800,6241.11,73.5,0,4.46426,1.201709,1.252912,10.7399,0.1736541,4.568963,0,72.1722,0
6967.42,6967.42,6954.748,6954.748,16.07395,0,1649.94,0,0.8202369,-999.25,22.83437,-1.23E-06,16.39409,0,0,46.67586,0,129.3868,166.2248,-1.058696,0.7169834,0.5910396,1.16806,1.162203,47.02687,51.93222,22.2594,0,14.1964,0.8694,24,3.868095,0.79,117.86,0,3,16.30741,0.1979231,13.85947,1.355771,2.02E-07,0,1.547805,11.21621,6800,6241.11,73.5,0,4.46426,1.201709,1.253035,10.7399,0.1736541,4.568963,0,72.1722,0
6967.42,6967.42,6954.748,6954.748,16.07395,0,1649.94,0,0.8202369,-999.25,22.83437,-1.23E-06,16.40694,0,0,47.17241,0,129.3868,166.2248,-1.058697,0.7246109,0.5910396,1.16806,1.162203,47.02687,51.93222,22.2633,0,14.1964,0.8694,24,3.868095,0.79,117.86,0,3,16.25261,0.1949175,14.01071,1.331992,1.03E-07,0,1.547805,11.33553,6800,6241.11,73.5,0,4.476001,1.201709,1.253167,10.93378,0.1773686,4.580981,0,72.1722,0
6967.42,6967.42,6954.748,6954.748,16.07395,0,1649.94,0,0.8202369,-999.25,22.83437,-1.23E-06,16.43263,0,0,47.17241,0,129.414,164.4751,-1.031531,0.7246109,0.5910396,1.167415,1.162203,47.02687,51.93222,22.2417,0,14.1964,0.8694,24,3.868095,0.79,117.86,0,3,16.22454,0.1932326,14.03316,1.349868,6.60E-08,0,1.547805,11.33553,6800,6241.11,73.5,0,4.476001,1.201709,1.253142,10.93378,0.1773686,4.580981,0,72.1722,0
6967.42,6967.42,6954.748,6954.748,16.07395,0,1649.94,0,0.8938947,-999.25,22.83437,-1.23E-06,16.44548,0,0,46.67586,0,129.4329,164.4751,-1.012621,0.7169834,0.5910396,1.167415,1.162203,47.02687,51.93222,22.2182,0,14.1964,0.8694,24,3.868095,0.79,117.86,0,3,16.18896,0.1934583,14.05012,1.355693,4.23E-08,0,1.547805,11.21621,6800,6241.11,73.5,0,4.46426,1.201709,1.25297,10.7399,0.1736541,4.568963,0,72.1722,0
6967.42,6967.42,6954.748,6954.748,16.07395,0,1649.94,0,0.8938947,-999.25,22.83437,-1.23E-06,16.44548,0,0,47.17241,0,129.4707,166.2248,-0.974806,0.7246109,0.5916721,1.167415,1.162203,46.99851,51.88601,22.2836,0,14.1964,0.8694,24,3.868095,0.79,117.86,0,3,16.16048,0.1941714,14.13852,1.355036,2.16E-08,0,1.547805,11.33553,6800,6241.11,73.5,0,4.476001,1.201709,1.253161,10.93378,0.1773686,4.580981,0,72.1722,0
6967.42,6967.42,6954.748,6954.748,16.07395,0,1649.94,0,0.8938947,-999.25,22.83437,-1.23E-06,16.44548,0,0,47.17241,0,129.5085,164.4751,-0.9369816,0.7246109,0.5916721,1.167415,1.162203,46.99851,51.88601,22.2404,0,14.1964,0.8694,24,3.868095,0.79,117.86,0,3,16.14664,0.194675,14.20689,1.360646,1.38E-08,0,1.547805,11.33553,6800,6241.11,73.5,0,4.476001,1.201709,1.253163,10.93378,0.1773686,4.580981,0,72.1722,0
